testJHashMap; testJLinkedMap; testJTreeMap; testSHashMap; testSLinkedMap; testSTreeMap
360378,230; 433851,037; 321745,333; 290863,361; 468476,045; 318311,572
361348,608; 433504,094; 321880,318; 290613,606; 470472,269; 317501,592
361087,004; 433688,893; 321966,876; 290573,362; 464385,715; 318209,919
360845,191; 433968,660; 321865,049; 290670,843; 469889,062; 318141,272
361267,802; 433236,993; 321169,327; 290944,979; 469552,952; 318354,897
360834,751; 432345,133; 321041,793; 290737,044; 469798,910; 318034,018
357475,680; 430930,977; 316292,400; 294228,979; 477622,508; 318370,036
360611,623; 430281,848; 316243,638; 294419,898; 478671,675; 318459,836
361524,442; 430495,517; 316653,078; 293332,997; 477372,854; 317816,520
360885,576; 431461,479; 316741,506; 294053,399; 479037,844; 317632,898
362044,219; 430491,413; 316527,287; 293898,715; 479460,747; 317725,102
361268,584; 430055,995; 315073,014; 293390,711; 476286,417; 318436,819
362303,714; 427301,526; 317798,055; 293735,695; 470839,419; 318474,255
362975,493; 427826,279; 321167,891; 294161,861; 471780,856; 318496,252
362290,514; 428103,463; 321152,502; 294114,997; 470638,598; 317938,521
352645,645; 425904,449; 321117,304; 293670,907; 471258,180; 318558,032
356869,996; 427972,182; 320498,211; 292931,658; 472121,908; 318061,092
363084,426; 427819,460; 320707,614; 293470,863; 470697,840; 318088,851
361659,941; 433400,552; 321635,148; 288850,109; 476407,594; 318866,236
361860,292; 432845,481; 321494,182; 289407,308; 476451,303; 318560,913
361841,795; 431759,502; 321272,383; 289499,465; 476233,880; 313636,950
361081,005; 433290,453; 321275,384; 289453,530; 475863,201; 316484,985
361909,949; 431588,155; 321798,423; 289374,035; 476356,112; 312848,731
361828,047; 433662,341; 321628,269; 289508,884; 477015,481; 317973,179
363884,101; 427147,635; 320429,615; 287207,522; 470261,294; 319366,049
363630,835; 426498,873; 320245,297; 286432,988; 472479,290; 319616,755
362938,121; 425701,246; 319938,273; 287313,958; 472074,230; 318936,359
363779,431; 426137,825; 320594,322; 287156,867; 472455,033; 318151,768
363728,968; 425825,984; 320469,751; 287172,110; 472924,302; 317817,693
363725,017; 426895,088; 321157,710; 287085,404; 471733,239; 318711,665
